Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,OFFeFG,OFFTOV,OFFORB,OFFFT/FGA,DFFeFG,DFFTOV,DFFDRB,DFFFT/FGA,Stats
Boston Celtics*,27.3,61,21,60,22,7.79,-0.42,7.37,109.4,101.9,102.6,0.332,0.057,0.55,0.501,15.4,34.8,0.258,0.475,16.5,67.8,0.234,Promotion
Los Angeles Lakers*,26.2,60,22,55,27,5.9,-0.51,5.4,109.5,103.9,104.1,0.284,0.014,0.569,0.53,16.5,32.6,0.22,0.475,14,66.9,0.181,LeagueChampion
Seattle SuperSonics*,27,56,26,53,29,4.66,-0.42,4.24,105.8,101.2,101.8,0.298,0.025,0.52,0.474,14.9,36.4,0.229,0.463,15.4,67.9,0.221,Promotion
Philadelphia 76ers*,27,59,23,52,30,4.22,-0.18,4.04,105,101,103,0.34,0.017,0.544,0.494,17.2,33.5,0.262,0.46,15.5,66.7,0.217,Promotion
Milwaukee Bucks*,25.3,49,33,51,31,3.94,-0.37,3.57,106.8,102.9,102.4,0.278,0.021,0.532,0.491,15,35.2,0.212,0.467,16.2,63.8,0.229,Promotion
Phoenix Suns*,26.5,55,27,50,32,3.6,-0.35,3.25,105.6,102.2,104.8,0.341,0.039,0.548,0.498,16.4,30.4,0.263,0.483,16.5,66.9,0.213,Promotion
Atlanta Hawks*,26.1,50,32,49,33,2.91,-0.09,2.83,105.2,102.3,98.9,0.376,0.011,0.523,0.465,15.4,36.9,0.29,0.461,17.1,65.6,0.291,Promotion
Kansas City Kings*,25.5,47,35,49,33,3.13,-0.32,2.82,104,101,103.2,0.3,0.015,0.522,0.48,14.5,31,0.223,0.479,17.9,68.1,0.273,Promotion
Cleveland Cavaliers,27.4,37,45,42,40,0.34,0.09,0.43,106.7,106.4,105.6,0.274,0.023,0.519,0.476,13.2,33.1,0.212,0.505,16.3,65.9,0.216,Phaseout
Houston Rockets*,27.3,41,41,41,41,0.17,0.1,0.27,108.1,108,101.2,0.31,0.051,0.533,0.487,15.5,37.6,0.238,0.499,16.1,63.2,0.23,Promotion
San Antonio Spurs*,26.9,41,41,40,42,-0.38,0.13,-0.24,108.6,109,109.5,0.327,0.027,0.553,0.502,15.2,31.8,0.262,0.506,14.4,66.8,0.216,Promotion
Indiana Pacers,25.3,37,45,39,43,-0.7,0.16,-0.54,105.5,106.2,104.4,0.303,0.041,0.523,0.479,14.8,35.4,0.228,0.493,17,62.5,0.23,Phaseout
Portland Trail Blazers*,26.3,38,44,39,43,-0.82,-0.05,-0.87,103.4,104.3,98.6,0.293,0.018,0.519,0.477,16.1,35.5,0.218,0.482,15.3,67.9,0.245,Promotion
New York Knicks,24.1,39,43,38,44,-1.15,0.19,-0.96,106.5,107.5,106.5,0.296,0.025,0.539,0.498,15.7,33.7,0.221,0.498,16.4,64,0.263,Phaseout
New Jersey Nets,26.1,34,48,38,44,-1.17,0.19,-0.98,101.5,102.5,106.1,0.321,0.04,0.518,0.466,16.6,32.1,0.251,0.472,16.5,66.4,0.263,Phaseout
Washington Bullets*,29,39,43,34,48,-2.55,0.28,-2.27,103.2,105.7,102.6,0.263,0.031,0.504,0.463,13.7,33.3,0.199,0.469,12.3,69.5,0.218,Promotion
Chicago Bulls,25.9,30,52,34,48,-2.71,0.08,-2.63,104.3,107,101.8,0.373,0.04,0.545,0.489,17.2,32.2,0.291,0.5,15.7,68,0.251,Phaseout
San Diego Clippers,27.6,35,47,30,52,-4.15,0.18,-3.97,105.7,109.8,101.4,0.289,0.072,0.522,0.482,14.6,34.2,0.213,0.503,14.2,65.4,0.215,Phaseout
Golden State Warriors,26.3,24,58,29,53,-4.39,0.2,-4.2,102,106.3,100.5,0.262,0.017,0.52,0.484,15.5,31.1,0.193,0.498,15.5,69.8,0.273,Phaseout
Denver Nuggets,27.1,30,52,30,52,-4.41,0.2,-4.22,103.4,107.6,103.9,0.34,0.034,0.517,0.469,15.1,33.6,0.25,0.497,14.4,67.8,0.224,Phaseout
Utah Jazz,25.9,24,58,25,57,-6.01,0.31,-5.71,104.2,110.4,97.6,0.285,0.027,0.547,0.5,16.7,29.7,0.23,0.5,13.5,67.1,0.237,Phaseout
Detroit Pistons,24.7,16,66,22,60,-8.24,0.67,-7.57,101.2,108.8,107.1,0.283,0.029,0.523,0.483,16.9,32.3,0.209,0.499,15.2,64.7,0.239,Phaseout
