Age,OFFeFG,OFFTOV,OFFORB,OFFFT/FGA,DFFeFG,DFFTOV,DFFDRB,DFFFT/FGA,Stats
27.3,0.502,14.7,35.8,0.248,0.472,14.6,67.6,0.22,Promotion
28.1,0.521,15.5,30.5,0.265,0.48,16.5,65,0.261,Promotion
27.3,0.509,16.5,35.1,0.25,0.471,15.9,67.3,0.253,Promotion
26.8,0.518,14.7,35.8,0.204,0.493,14.8,66.3,0.187,LeagueChampion
26.4,0.491,14.1,31.3,0.243,0.464,14.4,67.2,0.214,Promotion
26.4,0.495,15.9,32.2,0.229,0.47,14.6,68.5,0.233,Promotion
26.1,0.49,13,34,0.238,0.487,13.7,68.8,0.256,Promotion
26,0.478,14.7,29.4,0.227,0.468,13.9,69.9,0.228,Promotion
25.1,0.487,16.6,33.7,0.237,0.486,18.3,67,0.281,Promotion
26.5,0.476,14.6,32.2,0.271,0.473,15.6,67.6,0.282,Promotion
25.1,0.502,14.5,34.8,0.233,0.493,14.1,68.8,0.256,Phaseout
24.7,0.507,14.4,32.5,0.239,0.502,15,65.9,0.223,Phaseout
27,0.522,14.1,31.8,0.31,0.528,13.9,64.3,0.213,Promotion
28.3,0.479,13.7,37.8,0.22,0.5,14.3,66.1,0.209,Promotion
24.4,0.485,16,34.8,0.262,0.512,16.4,66.9,0.224,Phaseout
27,0.472,14.6,30.5,0.225,0.494,15.9,66.3,0.221,Phaseout
26.5,0.505,17.3,33.6,0.29,0.499,13.2,69,0.207,Phaseout
28,0.495,15.4,33.1,0.223,0.508,15.4,66.9,0.255,Phaseout
24,0.497,15.5,29.9,0.213,0.504,16.5,66,0.287,Phaseout
24.4,0.473,13.7,33.9,0.241,0.51,14.5,66.8,0.266,Phaseout
24.8,0.496,14.5,30.6,0.23,0.513,14.1,65.3,0.244,Phaseout
25.4,0.507,16.2,33.2,0.238,0.529,13.9,68,0.28,Phaseout
26.1,0.466,13.7,32,0.222,0.515,14.7,65.9,0.271,Phaseout
